yildiz,Kategori,oyuncular,yonetmen
8.0,Gizem ,"Noah Maxwell Clarke, Philippa Carson, Tom Barber-Duffy, Yaiza Figueroa",Keir Burrows
9.0,Bilim Kurgu ,"Carrie Fisher, Daisy Ridley, John Boyega, Mark Hamill",Rian Johnson
8.0,Dram ,"Benedict Wong, Jennifer Jason Leigh, Natalie Portman, Tessa Thompson",Alex Garland
8.1,Gerilim ,"Chelsea Lopez, Florence Hartigan, Justin Matthews, Luke Spencer Roberts",Justin Barber
7.9,Dram ,"Alicia von Rittberg, Emilia Schüle, Fahri Yardim, Jannis Niewöhner",Alain Gsponer
9.6,Animasyon ,"James Arnold Taylor, Kate Micucci, Kevin Michael Richardson, Troy Baker",Ethan Spaulding
8.5,Animasyon ,"Kelly Clarkson, Kelly Donohue, Rachel Crow, Ryan Crego",Blake Lemons
7.9,Gerilim ,"Glenn Morshower, Linda Hamilton, Lyndsy Fonseca, Noah Bean",Diego Hallivis
8.7,Animasyon ,"Billy Brown, Christian Slater, Kristin Bauer van Straten, Vanessa Williams",Sam Liu
7.8,Dram ,"Agyness Deyn, Sam Worthington, Taylor Schilling, Tom Wilkinson",Lennart Ruff
7.6,Dram ,"Barry Ward, Charlotte Le Bon, Oona Chaplin, Tom Hughes",Mateo Gil
6.0,Bilim Kurgu ,"Carl Bailey, Raymond Tostado, Ryan Houston, Sami Reynolds",Jorge Nunez
6.7,Yabancı ,"Bethan Leadley, Cherry Wallis, Jess Cleverly, Sarah Perugia",Drew Casson
8.4,Bilim Kurgu ,"Danielle Savre, Michael Beach, Nathan Lynn, Rob Mayes",Darin Scott
9.3,Animasyon ,"Billy Brown, Christian Slater, Kristin Bauer van Straten, Vanessa Williams",Sam Liu
9.4,Animasyon ,"Kevin Conroy, Loren Lester, Melissa Rauch, Paget Brewster",Sam Liu
6.9,Dram ,"Daniel M. Jacobs, Haydée Lysander, Julian Nicholson, Lowena McDonell",Sadrac González-Perellón
9.3,Bilim Kurgu ,"Chadwick Boseman, Danai Gurira, Lupita Nyong'o, Michael B. Jordan",Ryan Coogler
6.7,Komedi ,"Chiara Stella Riccio, Clémence Poésy, Luca Esposito, Valerio Mastandrea",Paola Randi
8.4,Bilim Kurgu ,"Afiya Bennett, Clive Owen, Jeffrey Men, Morgan Allen",Andrew Niccol
8.2,Korku ,"Drew Casson, Georgia Bradley, Mark Cusack, Sam Carter",Drew Casson
7.2,Bilim Kurgu ,"Corin Nemec, Nathin Butler, Sean Gunnell, Whitney Moore",Jack Perez
8.7,Bilim Kurgu ,"Bojana Novakovic, Callan Mulvey, Frank Grillo, Jonny Weston",Liam O'Donnell
9.2,Animasyon ,"Edward Bosco, Fred Tatasciore, Jesse Burch, Liam O'Brien",Mitch Schauer
8.8,Bilim Kurgu ,"Burn Gorman, Cailee Spaeny, John Boyega, Scott Eastwood",Steven S. DeKnight
8.3,Bilim Kurgu ,"Barry Pepper, Forest Whitaker, John Travolta, Kim Coates",Roger Christian
8.9,Bilim Kurgu ,"Christo Jivkov, Fabrizio Bentivoglio, Ludovico Girardello, Valeria Golino",Gabriele Salvatores
9.5,Aksiyon ,"Greg Cipes, John DiMaggio, Romi Dames, Yvette Nicole Brown",Elsa Garagarza
8.3,Dram ,"Christoph Waltz, Hong Chau, Kristen Wiig, Matt Damon",Alexander Payne
8.4,Animasyon ,"Shan Xin, Zhongyang Baomu",Weifeng Deng
8.3,Dram ,"Ellen Page, Sam Keeley, Stuart Graham, Tom Vaughan-Lawlor",David Freyne
8.3,Yabancı ,"Arielle Holmes, Branden Coles, Kelcey Watson, Paul Sidhu",Joey Curtis
7.6,Gerilim ,"Claude Duhamel, Jordan Danger, Martin Sensmeier, Ryan Carnes",Fulvio Sestito
8.7,Bilim Kurgu ,"Dave Bautista, Jesse Metcalfe, Sylvester Stallone, Xiaoming Huang",Steven C. Miller
6.1,Fantastik ,"Hunter Alexes Parker, Johanna Rae, Justin Lebrun, Shane Samples",Richard Lowry
8.4,Bilim Kurgu ,"Mindy Kaling, Oprah Winfrey, Reese Witherspoon, Storm Reid",Ava DuVernay
8.8,Gerilim ,"Ed Skrein, Fiston Barek, Gary Oldman, Maika Monroe",Federico D'Alessandro
9.4,Bilim Kurgu ,"Dwayne Johnson, Jeffrey Dean Morgan, Malin Akerman, Naomie Harris",Brad Peyton
9.5,Bilim Kurgu ,"Corey Stoll, Evangeline Lilly, Michael Douglas, Paul Rudd",Peyton Reed
7.5,Yabancı ,"Brandon Scott, Levy Tran, Scott Mechlowicz, Spencer Locke",Royce Gorsuch
7.3,Komedi ,"Alex Sharp, Elle Fanning, Matt Lucas, Nicole Kidman",John Cameron Mitchell
7.4,Bilim Kurgu ,Tiger Hu Chen,
8.7,Dram ,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe",John Krasinski
7.8,Bilim Kurgu ,"Kat Graham, Nancy Sorel, Nicole Ari Parker, Theo James",David M. Rosenthal
8.7,Dram ,"Bob Balaban, Bryan Cranston, Edward Norton, Koyu Rankin",Wes Anderson
8.5,Bilim Kurgu ,"Kate Bosworth, Lance Reddick, Sonoya Mizuno, Tyler Hoechlin",Mike P. Nelson
6.8,Komedi ,"Annette Bening, Jack Nicholson, Pierce Brosnan, Sarah Jessica Parker",Tim Burton
8.2,Fantastik ,"Frankie Muniz, Jimmi Simpson, Jon Foster, Samaire Armstrong",William Brent Bell
7.7,Bilim Kurgu ,"Matthew Modine, Maxim Roy, Ted Whittall, Trevor Hayes",
6.0,Bilim Kurgu ,"Dan Ewing, Rhiannon Fish, Stephany Jacobsen, Temuera Morrison",Luke Sparke
8.0,Bilim Kurgu ,"Amelia Crouch, Erica Tremblay, Lizzy Caplan, Michael Peña",Ben Young
8.5,Bilim Kurgu ,"Amelia Crouch, Erica Tremblay, Lizzy Caplan, Michael Peña",Ben Young
8.3,Bilim Kurgu ,"Casey Fitzgerald, Eric Roberts, Rib Hillis, Vernon Wells",Ari Novak
7.6,Bilim Kurgu ,"Dominique Swain, Louis Mandylor, Michael Paré, Natassia Malthe",Mitch Gould
9.4,Bilim Kurgu ,"Josh Brolin, Julian Dennison, Morena Baccarin, Ryan Reynolds",David Leitch
8.4,Gerilim ,"Doug Jones, Manu Intiraymi, Marina Sirtis, Morgan Lariah",Scotty Baker
9.0,Bilim Kurgu ,"Ed Gale, Jeffrey Jones, Lea Thompson, Tim Robbins",Willard Huyck
8.5,Dram ,"Elle Evans, Kate Mansi, Lou Ferrigno Jr., Riley Egan",John Burr
7.7,Bilim Kurgu ,"Deobia Oparei, Dwayne Johnson, Karl Urban, Rosamund Pike",Andrzej Bartkowiak
8.1,Bilim Kurgu ,"Jessica McLeod, Miranda Frigon, Paul Johansson, Sebastian Spence",Jason Bourque
7.4,Bilim Kurgu ,"Ji-Ho Oh, Ji-won Ha, Sung-Ki Ahn, Ye-ryeon Cha",Ji-hoon Kim
7.0,Bilim Kurgu ,"Becky Andrews, Carter Burch, Leslie Castay, Ross Britz",Misty Talley
9.0,Bilim Kurgu ,"Alden Ehrenreich, Donald Glover, Emilia Clarke, Woody Harrelson",Ron Howard
9.3,Bilim Kurgu ,"Alden Ehrenreich, Donald Glover, Emilia Clarke, Joonas Suotamo, Woody Harrelson",Ron Howard
6.8,Bilim Kurgu ,"Carmen Argenziano, Eileen Grubba, John Cusack, Julian Schaffner",Robert Kouba
9.2,Bilim Kurgu ,"Brendan Gleeson, Jeremy Irons, Marion Cotillard, Michael Fassbender",Justin Kurzel
9.3,Animasyon ,"Jake T. Austin, Sean Maher, Stuart Allan, Taissa Farmiga",Sam Liu
8.1,Bilim Kurgu ,"Colm Feore, Jade Tailor, Jordan Danger, Ron Eldard",Matthew Charles Santoro
9.1,Animasyon ,"Britt Baron, Jen Taylor, Michelle Lukes, Steve Downes",
9.3,Bilim Kurgu ,"Daisy Ridley, Domhnall Gleeson, John Boyega, Oscar Isaac",J.J. Abrams
8.1,Gerilim ,"Elias Koteas, Liev Schreiber, Olivia Williams, Romola Garai",Ruairi Robinson
9.5,Bilim Kurgu ,"Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage",Chris Columbus
9.1,Dram ,"Andrew Scott, Daniel Radcliffe, James McAvoy, Jessica Brown Findlay",Paul McGuigan
9.2,Bilim Kurgu ,"James Franco, Kirsten Dunst, Tobey Maguire, Willem Dafoe",Sam Raimi
8.8,Bilim Kurgu ,"Alfred Molina, James Franco, Kirsten Dunst, Tobey Maguire",Sam Raimi
9.1,Bilim Kurgu ,"Jordi Mollà, Karl Urban, Katee Sackhoff, Vin Diesel",David Twohy
9.4,Bilim Kurgu ,"Famke Janssen, Hugh Jackman, Ian McKellen, Patrick Stewart",Bryan Singer
9.2,Bilim Kurgu ,"Halle Berry, Hugh Jackman, Ian McKellen, Patrick Stewart",Bryan Singer
9.4,Bilim Kurgu ,"Famke Janssen, Halle Berry, Hugh Jackman, Patrick Stewart",Brett Ratner
9.3,Bilim Kurgu ,"Danny Huston, Hugh Jackman, Liev Schreiber, Ryan Reynolds",Gavin Hood
9.1,Bilim Kurgu ,"Anthony Hopkins, Chris Hemsworth, Natalie Portman, Tom Hiddleston",Kenneth Branagh
9.4,Bilim Kurgu ,"Hugh Jackman, Rila Fukushima, Tao Okamoto, Will Yun Lee",James Mangold
7.5,Bilim Kurgu ,"Dave Bautista, Jodie Foster, Sofia Boutella, Sterling K. Brown",Drew Pearce
7.3,Bilim Kurgu ,"Christian Oliver, Jeffrey Vincent Parise, Lauren McKnight, Tory Taranova",Philip Chidel
9.3,Bilim Kurgu ,"Evangeline Lilly, Michael Peña, Paul Rudd, Walton Goggins",Peyton Reed
9.4,Komedi ,"Christopher Lloyd, Lea Thompson, Michael J. Fox, Thomas F. Wilson",Robert Zemeckis
9.6,Komedi ,"Christopher Lloyd, Mary Steenburgen, Michael J. Fox, Thomas F. Wilson",Robert Zemeckis
6.1,Dram ,"Britt Lower, Ryan Merriman, Sonja Sohn, William Gregory Lee",Nathaniel Atcheson
8.0,Bilim Kurgu ,"Charles Baker, Debbie Rochon, Michael Ironside, Ryan Buggle",Serge Levin
7.2,Fantastik ,"Jean-Stan Du Pac, Paul Scarfoglio, Sofia Lesaffre, Stéphane Bak",David Moreau
8.9,Bilim Kurgu ,"Amandla Stenberg, Bradley Whitford, Harris Dickinson, Mandy Moore",Jennifer Yuh Nelson
7.9,Bilim Kurgu ,"Clive Standen, Matt Smith, Natalie Dormer, Stanley Tucci",Stefan Ruzowitzky
9.2,Bilim Kurgu ,"Adrianne Palicki, Byung-Hun Lee, Channing Tatum, Dwayne Johnson",Jon M. Chu
8.4,Dram ,"Jordana Largy, Martin Donovan, Matt Ellis, Peter Dinklage",Mark Palansky
8.4,Dram ,"Alex Sharp, Benjamin Beatty, Ella Purnell, Gillian Anderson",Ryan Eslinger
7.5,Dram ,"Ellen Page, Sam Keeley, Stuart Graham, Tom Vaughan-Lawlor",David Freyne
8.4,Gerilim ,"Aura Garrido, David Oakes, Ray Stevenson, Winslow M. Iwaki",Xavier Gens
7.8,Bilim Kurgu ,"Angus Macfadyen, Candace Cameron Bure, Kelly Hu, Lucius Hoyos",Sean Olson
8.1,Fantastik ,"Jermaine Fowler, LaKeith Stanfield, Omari Hardwick, Tessa Thompson",Boots Riley
8.1,Bilim Kurgu ,"Dong-won Gang, Han Yeri, Hyo-Joo Han, Woo-sung Jung",Jee-woon Kim
8.0,Bilim Kurgu ,"Dong-won Gang, Han Yeri, Hyo-Joo Han, Woo-sung Jung",Jee-woon Kim
9.4,Aksiyon ,"Craig T. Nelson, Holly Hunter, Huck Milner, Sarah Vowell",Brad Bird
6.8,Bilim Kurgu ,"Alice Lowe, Henry Douthwaite, Sid Phoenix, Steven Ogg",Carl Strathie
9.2,Bilim Kurgu ,"Andrew Garfield, Emma Stone, Irrfan Khan, Rhys Ifans",Marc Webb
9.3,Bilim Kurgu ,"Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti",Marc Webb
9.4,Bilim Kurgu ,"Marisa Tomei, Michael Keaton, Robert Downey Jr., Tom Holland",Jon Watts
6.8,Bilim Kurgu ,"Elaine Partnow, Grace Van Dien, Jason Woods, Jhey Castles",John Baumgartner
9.4,Bilim Kurgu ,"Evangeline Lilly, Michael Peña, Paul Rudd, Walton Goggins",Peyton Reed
9.4,Bilim Kurgu ,"Bradley Cooper, Chris Pratt, Vin Diesel, Zoe Saldana",James Gunn
9.1,Bilim Kurgu ,"Bill Nighy, Kate Beckinsale, Scott Speedman, Tony Curran",Len Wiseman
9.0,Bilim Kurgu ,"Bingbing Li, Cliff Curtis, Jason Statham, Rainn Wilson",Jon Turteltaub
9.2,Animasyon ,"Camilla Luddington, Enrico Colantoni, Jerry O'Connell, Rosario Dawson",Jay Oliva
8.5,Bilim Kurgu ,"Boyd Holbrook, Jacob Tremblay, Keegan-Michael Key, Trevante Rhodes",Shane Black
7.7,Animasyon ,"Echo Kellum, Iddo Goldberg, Megalyn Echikunwoke, Sunil Malhotra",Ethan Spaulding
7.3,Dram ,"Franz Rogowski, Godehard Giese, Lilien Batman, Paula Beer",Christian Petzold
8.8,Bilim Kurgu ,"Doug Jones, John Hurt, Ron Perlman, Selma Blair",Guillermo del Toro
7.4,Bilim Kurgu ,"Christine Nguyen, Cindy Lucas, Dominique Swain, Traci Lords",Jim Wynorski
8.5,Fantastik ,"Cate Blanchett, Jack Black, Kyle MacLachlan, Owen Vaccaro",Eli Roth
8.4,Bilim Kurgu ,"Boyd Holbrook, Jacob Tremblay, Keegan-Michael Key, Trevante Rhodes",Shane Black
9.4,Bilim Kurgu ,"Adrian Scarborough, Hong Chau, Josh Gad, Judi Dench, Nikesh Patel",Kenneth Branagh
8.8,Bilim Kurgu ,"Charisma Carpenter, Emma Rayne Lyle, Josh Hopkins, Madison Horcher",Paulina Lagudi
7.3,Dram ,"Franz Rogowski, Godehard Giese, Lilien Batman, Paula Beer",Christian Petzold
8.1,Yabancı ,"Fantine Harduin, Michel Robin, Olga Kurylenko, Romain Duris",Daniel Roby
9.1,Bilim Kurgu ,"Boyd Holbrook, Jacob Tremblay, Keegan-Michael Key, Trevante Rhodes",Shane Black
8.7,Fantastik ,"Cate Blanchett, Jack Black, Kyle MacLachlan, Owen Vaccaro",Eli Roth
7.6,Gizem ,"Doug Rand, Fabrice Pierre, Gala Besson, Philip Schurer",Fabien Delage
7.2,Bilim Kurgu ,"Katherine Barrell, Luke Newton, Sai Bennett, Tim Rozon",Darrell Roodt
9.5,Aksiyon ,"Aya Hisakawa, Masako Nozawa, Ryô Horikawa, Toshio Furukawa",Tatsuya Nagamine
8.1,Romantik ,"Ewan McGregor, Léa Seydoux, Rashida Jones, Theo James",Drake Doremus
7.9,Dram ,"Ashlyn Sanchez, John Leguizamo, Mark Wahlberg, Zooey Deschanel",M. Night Shyamalan
9.3,Aksiyon ,"Anita Briem, Brendan Fraser, Josh Hutcherson, Seth Meyers",Eric Brevig
9.3,Bilim Kurgu ,"Ben Kingsley, Matthew Goode, Natalie Martinez, Ryan Reynolds",Tarsem Singh
9.5,Bilim Kurgu ,"Michelle Williams, Riz Ahmed, Scott Haze, Tom Hardy",Ruben Fleischer
8.4,Animasyon ,"Clancy Brown, Kevin Conroy, Tim Daly, Xander Berkeley",Sam Liu
8.6,Gerilim ,"Chiaki Kuriyama, Masaki Okada, Nao Ohmori, Tôma Ikuta",Keishi Ohtomo
6.1,Dram ,"Kirsty Besterman, Marusa Majer, Sebastian Cavazza, Stoya",Lazar Bodroza
6.9,Bilim Kurgu ,"Kevin Durand, Lance Henriksen, Mélanie St-Pierre, Summer H. Howell",Mamoru Oshii
8.4,Bilim Kurgu ,"Andy On, Lily Ji, Scott Adkins, Truong Ngoc Anh",Ernie Barbarash
7.5,Gerilim ,"Amanda Pays, Daniel Stern, Peter Weller, Richard Crenna",George P. Cosmatos
7.3,Dram ,"Erika Ervin, Henry Ian Cusick, Jenna Harrison, Kathleen Quinlan",Maurice Haeems
8.9,Bilim Kurgu ,"Jovan Adepo, Mathilde Ollivier, Pilou Asbæk, Wyatt Russell",Julius Avery
6.8,Bilim Kurgu ,"Julie Cox, Katee Sackhoff, Ray Fearon, Steven Cree",Hasraf Dulull
6.8,Bilim Kurgu ,"Clayton Snyder, Daniel Washington, David B. Meadows, Scott C. Roe",Jeremiah Jones
8.5,Dram ,"Kate Trotter, Kiernan Shipka, Miranda Otto, Stanley Tucci",John R. Leonetti
9.6,Animasyon ,"Diane Guerrero, Elyes Gabel, Kevin Conroy, Susan Eisenberg",Sam Liu
9.5,Dram ,"John Malkovich, Sandra Bullock, Sarah Paulson, Trevante Rhodes",Susanne Bier
8.2,Dram ,"AJ Bowen, Brianne Davis, Chad McKnight, Scott Poythress",Jacob Gentry
9.2,Bilim Kurgu ,"Chris Evans, Jeremy Renner, Robert Downey Jr., Scarlett Johansson",Joss Whedon
9.6,Bilim Kurgu ,"Chris Evans, Chris Hemsworth, Mark Ruffalo, Robert Downey Jr.",Joss Whedon
9.3,Bilim Kurgu ,"Gwyneth Paltrow, Jeff Bridges, Robert Downey Jr., Terrence Howard",Jon Favreau
8.5,Dram ,"Anya Taylor-Joy, Bruce Willis, James McAvoy, Samuel L. Jackson",M. Night Shyamalan
8.7,Bilim Kurgu ,"Chuxiao Qu, Guangjie Li, Jing Wu, Man-Tat Ng",Frant Gwo
9.7,Bilim Kurgu ,"Florence Pugh, Rachel Weisz, Robert Downey Jr., Scarlett Johansson",Cate Shortland
8.7,Dram ,"Bruce Willis, Robin Wright, Samuel L. Jackson, Spencer Treat Clark",M. Night Shyamalan
5.6,Gerilim ,"Andrew Kinsler, Peter McCrohon",Richard Mundy
9.0,Bilim Kurgu ,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich",Luc Besson
9.3,Bilim Kurgu ,"Amanda Seyfried, Cillian Murphy, Justin Timberlake, Olivia Wilde",Andrew Niccol
8.8,Bilim Kurgu ,"Jamie Bell, Kate Mara, Michael B. Jordan, Miles Teller",Josh Trank
8.4,Dram ,"Diane Kruger, Jared Leto, Linh Dan Pham, Sarah Polley",Jaco Van Dormael
8.7,Bilim Kurgu ,"Linda Fiorentino, Tommy Lee Jones, Vincent D'Onofrio, Will Smith",Barry Sonnenfeld
8.6,Bilim Kurgu ,"Lara Flynn Boyle, Rip Torn, Tommy Lee Jones, Will Smith",Barry Sonnenfeld
8.7,Dram ,"Asa Butterfield, Skyler Gisondo, Sophie Turner, Will Peltz",Andrew Bowler
9.3,Animasyon ,"Darren Criss, Eric Bauza, Kyle Mooney, Troy Baker",Jake Castorena
7.0,Dram ,"Christina Masterson, Eric Beecroft, Natalie Mitchell, Virginia Gardner",A.T. White
8.2,Bilim Kurgu ,"Alexandra Jiménez, Dani Rovira, Julián López, Maribel Verdú",Javier Ruiz Caldera
7.9,Bilim Kurgu ,"Kanna Hashimoto, Masaki Suda, Shun Oguri, Yûya Yagira",Yûichi Fukuda
9.3,Gerilim ,"Israel Broussard, Jessica Rothe, Phi Vu, Suraj Sharma",Christopher Landon
8.6,Dram ,"Luke Hawker, Maddie Lenton, Rose Byrne, Summer Lenton",Grant Sputore
8.6,Bilim Kurgu ,"Griffin Cleveland, Jaden Betts, Josie Totah, Samuel Gilbert",Mark Rosman
8.8,Aksiyon ,"Hilary Swank, Jace Norman, Jessica Biel, Patrick Stewart",Aaron Woodley
7.6,Bilim Kurgu ,"Hugh Dillon, Jakob Davies, Nicolas Cage, Sarah Lind",Rob W. King
7.4,Bilim Kurgu ,"Bérénice Marlohe, Jason Flemyng, Lee Pace, Sibulele Gcilitshana",Joe Miale
9.0,Bilim Kurgu ,"Donzaleigh Abernathy, Jacob Latimore, Seychelle Gabriel, Storm Reid",J.D. Dillard
8.0,Dram ,"Daniel MacPherson, Isabel Lucas, Kellan Lutz, Luke Ford",Shane Abbess
7.7,Bilim Kurgu ,"Jedidiah Goodacre, Laura Bilgeri, RJ Mitte, Wesley Snipes",Mauro Borrelli
9.4,Aksiyon ,"Barry Pepper, Jane Levy, Lucas Till, Thomas Lennon",Chris Wedge
7.8,Bilim Kurgu ,"Alexa Mansour, Andrew J Katers, Evan Sloan, Tonya Kay",Nick Lyon
9.0,Animasyon ,"Aaron Paul, Lena Headey, Neil Newbon, Sean Bean",Takeshi Nozue
9.2,Bilim Kurgu ,"Danila Kozlovsky, Haley Bennett, Sharlto Copley, Tim Roth",Ilya Naishuller
9.6,Bilim Kurgu ,"Maika Yamamoto, Masaki Suda, Ryôsuke Yamada, Seika Taketomi",Eiichirô Hasumi
9.6,Bilim Kurgu ,"Gorô Naya, Hisako Kyôda, Mahito Tsujimura, Sumi Shimamoto",Hayao Miyazaki
9.1,Aksiyon ,"Brian Bloom, Grant George, Jennifer Carpenter, John Eric Bentley",Kenichi Shimizu
8.6,Bilim Kurgu ,"David Field, Dolph Lundgren, Matt Doran, Melanie Zanetti",Christopher Hatton
7.0,Dram ,"Jesse Eisenberg, Mia Wasikowska, Noah Taylor, Wallace Shawn",Richard Ayoade
9.2,Dram ,"Brenton Thwaites, Jeff Bridges, Meryl Streep, Taylor Swift",Phillip Noyce
8.3,Gerilim ,"Elizabeth Gracen, Emily Baldoni, Maury Sterling, Nicholas Brendon",James Ward Byrkit
8.2,Korku ,"Alexandra Bard, James Adam Lim, Robert Brettenaugh, Scott Harders",Chad Michael Ward
8.7,Bilim Kurgu ,"Astro, Ella Wahlestedt, Reese Hartwig, Teo Halm",Dave Green
8.3,Dram ,"Alexa PenaVega, Bryan Dechart, Johnny Pacar, Shaun Sipos",Casey La Scala
8.0,Dram ,"Beau Knapp, Brenton Thwaites, Laurence Fishburne, Olivia Cooke",William Eubank
7.6,Bilim Kurgu ,"Elle Fanning, Kodi Smit-McPhee, Michael Shannon, Nicholas Hoult",Jake Paltrow
7.5,Bilim Kurgu ,"David Field, Guy Pearce, Robert Pattinson, Scoot McNairy",David Michôd
6.3,Korku ,"Antonia Thomas, Craig Conway, John Lynch, Morjana Alaoui",Billy O'Brien
9.3,Bilim Kurgu ,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",Francis Lawrence
9.0,Animasyon ,"Aoi Yûki, Hiroki Takahashi, Jun'ichi Suwabe, Yuka Komatsu",Shinji Aramaki
8.8,Dram ,"Astrid Bergès-Frisbey, Brit Marling, Michael Pitt, Steven Yeun",Mike Cahill
9.6,Dram ,"Anne Hathaway, Jessica Chastain, Mackenzie Foy, Matthew McConaughey",Christopher Nolan
9.3,Animasyon ,"Christopher Gorham, Nathan Fillion, Rosario Dawson, Sean Astin",Ethan Spaulding
7.6,Fantastik ,"Alex Dimitriades, Hannah Marshall, Josh McConville",Hugh Sullivan
8.3,Dram ,"Danny Glover, Margo Harshman, Taylor Handley, Vinnie Jones",Jason Dudek
8.5,Gerilim ,"Katherine Waterston, Sara Paxton, Scott Eastwood, Shaun Sipos",Jack Heller
9.0,Fantastik ,"Camden Toy, Jack Plotnick, Sarah Lieving, Ted Jonas",Peter Paul Basler
9.5,Animasyon ,"Frank Welker, Grey Griffin, Matthew Lillard, Mindy Cohn",Paul McEvoy
7.0,Dram ,"Emmy Rossum, Eric Winter, Justin Long, Kayla Servi",Sam Esmail
9.3,Aksiyon ,"Diedrich Bader, John DiMaggio, Tom Kenny, Troy Baker",Brandon Vietti
8.2,Korku ,"Adrian Holmes, Jason Momoa, Kjartan Hewitt, Tenika Davis",David Hewlett
8.8,Animasyon ,"Ikkyu Juku, Ken'ichirô Matsuda, Maaya Sakamoto, Tarusuke Shingaki",Kazuchika Kise
9.2,Animasyon ,"Eric Bauza, Kate Higgins, Matthew Mercer, Norman Reedus",Hiroshi Hamazaki
8.6,Animasyon ,"Charlie Schlatter, Chris Diamantopoulos, Roger Craig Smith, Will Friedle",Butch Lukic
8.5,Dram ,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac, Sonoya Mizuno",Alex Garland
8.2,Bilim Kurgu ,"Antonio Banderas, Birgitte Hjort Sørensen, Dylan McDermott, Melanie Griffith",Gabe Ibáñez
7.7,Gerilim ,"Abbie Salt, Danny Shayler, Robert Curtis",Daniel Simpson
9.3,Dram ,"Amy Landecker, Jonny Weston, Sofia Black-D'Elia, Virginia Gardner",Dean Israelite
9.6,Bilim Kurgu ,"Charlize Theron, Nicholas Hoult, Tom Hardy, Zoë Kravitz",George Miller
7.8,Gerilim ,"Daniel MacPherson, Grace Huang, Luke Ford, Luke Hemsworth",Shane Abbess
8.9,Bilim Kurgu ,"Dolph Lundgren, Nathan Lee, Scott Adkins, Yi Huang",Eric Styles
7.3,Dram ,"Danny Webb, Iwan Rheon, Jamie Draven, Natalia Tena",Alex Garcia Lopez
9.6,Animasyon ,"Jennifer Lopez, Jim Parsons, Rihanna, Steve Martin",Tim Johnson
8.6,Gerilim ,"Evan Peters, Mark Duplass, Olivia Wilde, Sarah Bolger",David Gelb
8.0,Bilim Kurgu ,"Adrian Paul, Brandon Auret, Douglas Tait, Reiley McClendon",Jabbar Raisani
8.2,Dram ,"David Barrass, Katrine De Candole, Leon Ockenden, Max Wrottesley",Nicolás Alcalá
8.2,Animasyon ,"Frank Welker, Gwendoline Yeo, Jeff Bennett, John Goodman",Phil Weinstein
7.5,Gerilim ,"Brooke Butler, Cleo Berry, Cynthia Murell, Dean Geyer",Isaac Gabaeff
7.7,Bilim Kurgu ,"Christopher Kirby, Götz Otto, Julia Dietze, Udo Kier",Timo Vuorensola
9.2,Bilim Kurgu ,"Emma Verlinden, Felix Maesschalck, Pommelien Thijs, Spencer Bogaert",Douglas Boswell
8.8,Animasyon ,"Benjamin Bratt, Michael C. Hall, Paget Brewster, Tamara Taylor",Sam Liu
9.5,Bilim Kurgu ,"Ansel Elgort, Kate Winslet, Shailene Woodley, Theo James",Robert Schwentke
9.1,Fantastik ,"Alexa PenaVega, Michelle Forbes, Robbie Amell, Victor Garber",Nisha Ganatra
8.7,Dram ,"Ashly Burch, Bryce Papenbrook, Monica Rial, Satomi Ishihara",Shinji Higuchi
9.6,Bilim Kurgu ,"Chris Evans, Chris Hemsworth, Mark Ruffalo, Robert Downey Jr.",Joss Whedon
7.6,Dram ,"Djimon Hounsou, Michael Hogan, Norman Reedus, Sandrine Holt",Christian Cantamessa
8.9,Bilim Kurgu ,"Anna Adair, Cleavant Derricks, Joseph Diaz, Stacey Asaro",Todor Chapkanov
8.5,Dram ,"Elizabeth Gillies, Joey Lauren Adams, Paul Iacono, Thorsten Kaye",Brett Simmons
9.7,Aksiyon ,"Diedrich Bader, John DiMaggio, Tom Kenny, Troy Baker",Brandon Vietti
9.5,Aksiyon ,"Dee Bradley Baker, Grey Griffin, John DiMaggio, Troy Baker",Rick Morales
9.2,Animasyon ,"Eric Bauza, Janell Cox, Steve Blum, Troy Baker",Butch Lukic
8.5,Bilim Kurgu ,"Adrian Bouchet, Amed Hashimi, Jon Campling, Sabine Crossen",James Bushe
8.2,Dram ,"Chris Diamantopoulos, Constance Wu, Jonathan Tucker, Peter Macon",Adam Kane
7.4,Gerilim ,"Brian Morvant, Dean Cates, Larry Fessenden, Lauren Ashley Carter",Mickey Keating
8.6,Gerilim ,"Ben Rovner, Darrin Bragg, Jelena Nik, Reid Warner",Oren Peli
9.1,Bilim Kurgu ,"Bryce Dallas Howard, Chris Pratt, Judy Greer, Ty Simpkins",Colin Trevorrow
8.4,Dram ,"Clara Lago, Jeffrey Donovan, Matthew Fox, Quinn McColgan",Miguel Ángel Vivas
8.5,Bilim Kurgu ,"Albert Allu, Darius Williams, Helen Audsley, Kate Rasmussen",Matt Drummond
8.1,Bilim Kurgu ,"Ambyr Childers, Bruce Willis, Johnathon Schaech, Thomas Jane",Brian A. Miller
9.6,Aksiyon ,"J.G. Quintel, Mark Hamill, Sam Marin, William Salyers",J.G. Quintel
